trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-70.52666390900202,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-81.75462112608177,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-96.4495868066456,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-66.06568872317614,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-83.18227772833147,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-146.18155962117714,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,5,-27.56008708237017,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-201.13837566907785,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-85.49156479159551,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-11.429438774194349,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-13.620072120635664,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-12.107916613494993,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-13.779882750248865,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-114.334282166263,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,2,-91.36130831544831,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-20.97716235766382,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-91.13330903293608,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,12,-83.69216170944102,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,11,3.0976371278001675,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-67.14689965443716,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,10,10.135357881842353,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,10,-40.78350751964666,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,5,-29.68966640718534,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-44.987316049221526,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-54.63598100143681,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,20,-2.2983628635516506,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,6,-176.81154144517353,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 4}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,12,1.2881222333894402,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,11,-0.4627708164949713,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,6,-58.16246751405675,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,4.5773847516269415,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-152.46056196917385,"{0: 17, 1: 1, 2: 1, 3: 4, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-13.613835107806647,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,15,-13.480865151219396,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,14,-5.630153683665586,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,13,21.105513696204003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
