trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.5, 'e': 0.1556726303679973}",20,8,18.549856694366273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,13,-38.70908964215361,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.14956861922263504}",20,8,11.497079854005744,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,11,-50.252668042271495,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,19,12.35162435467754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.140858420921045}",20,0,-23.71466423410594,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,11,-13.717556260967967,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,9,-20.492003376272127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.13265546508012172}",30,18,23.135921189405543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,8,24.61665736428735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,6,20.457441778973138,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,5,27.600240355424496,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.1224564282529819}",30,16,28.137991790833013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.12003162851145673}",30,16,12.706217406428538,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,14,13.106784502702196,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,6,24.465715218695582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11304153064044985}",20,12,14.561448301578828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,13,15.487102041551987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
